,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1471,Avis Travelex ,5 sur 5 étoiles,04/02/2021,"cela fait la cinquième fois que j’utilise travelex et je suis toujours aussi ravie !travelex est un site où l’on peut demander des échanges de devises. c’est très simple, il faut aller sur le site, choisir son montant, choisir sa devise et vous n’avez plus qu’à vous rendre dans une de leur agence pour retirer l’argent. il est possible de le retirer en liquide, ou de le mettre sur une carte prépayée ce qui est très pratique quand on part en voyage.le service est rapide et efficace. il y a beaucoup d’agences situées partout en france. de plus, le site est simple est facile d’utilisation.je n’ai pas encore eu l’occasion de contacter le service clientèle parce que je n’ai tout simplement jamais eu de problème avec travelex.",cela fait cinquième fois utilise travelex toujours aussi ravie travelex site où peut demander échanges devises très simple faut aller site choisir montant choisir devise plus rendre agence retirer argent possible retirer liquide mettre carte prépayée très pratique quand part voyage service rapide efficace beaucoup agences situées partout france plus site simple facile utilisation encore occasion contacter service clientèle parce tout simplement jamais problème travelex,Positive,3,service
1472,Avis Travelex ,"4,0 sur 5 étoiles",10/01/2021,"dernièrement, je me suis rendu à l'agence travelex de liège (belgique) pour convertir des couronnes norvégiennes en euro. l'accueil a été cordial. la transaction a été rapide.en moins de 2 minutes, je recevais le montant en euro.toutefois, je regrette le commission assez élevée facturée par l'agence. au final, j'ai obtenu moins d'euro que je ne l'espérais. ainsi, j'évalue cette expérience à 3 étoiles.",dernièrement rendu agence travelex liège belgique convertir couronnes norvégiennes euro accueil cordial transaction rapide moins minutes recevais montant euro toutefois regrette commission assez élevée facturée agence final obtenu moins euro espérais ainsi évalue cette expérience étoiles,Positive,6,accueil
1473,Avis Travelex ,5 sur 5 étoiles,15/12/2020,"je tenais à partager mon expérience avec travelex.je souhaitais avoir quelques dollars en poche avant de me rendre aux états-unis. j'ai donc regardé sur internet où je pouvais m'en procurer et je suis tombée sur le site de travelex. j'en avais déjà entendu parler mais je n'étais jamais passée par eux auparavant.le service est très simple et très rapide : je n'ai eu qu'à entrer le pays de destination, puis à indiquer le montant en euros afin d'obtenir mes devises étrangères. j'ai ensuite précisé l'agence travelex dans laquelle je souhaitais récupérer mes dollars, ainsi que le jour, puis j'ai complété mon identité avant de procéder au règlement. tout cela en quelques minutes seulement.j'ai ensuite reçu un email confirmant le numéro de ma commande. le suivi était très bon puisque j'ai reçu un nouvel email lorsque ma commande était disponible. il ne me restait plus qu'à me rendre en agence avec ma carte bleu utilisée lors de l'achat, le numéro de commande ainsi que mon passeport. la personne de l'agence a recompté l'espèce devant moi avant de me la donner. en bref, un service parfait !",tenais partager expérience travelex souhaitais avoir quelques dollars poche avant rendre états unis donc regardé internet où pouvais procurer tombée site travelex déjà entendu parler jamais passée auparavant service très simple très rapide entrer pays destination puis indiquer montant euros afin obtenir devises étrangères ensuite précisé agence travelex laquelle souhaitais récupérer dollars ainsi jour puis complété identité avant procéder règlement tout cela quelques minutes seulement ensuite reçu email confirmant numéro commande suivi très bon puisque reçu nouvel email lorsque commande disponible restait plus rendre agence carte bleu utilisée lors achat numéro commande ainsi passeport personne agence recompté espèce devant avant donner bref service parfait,Positive,6,accueil
