,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1437,Avis VIABUY ,"2,0 sur 5 étoiles",09/04/2022,"ils m'ont bloqué plus de 2500€ après deux ans d'utilisation. je fournis les preuves à qui en doute; tous les mails, la vidéo que la carte est bloquée etc. motif : j'ai effectué un retrait dans une banque russe en 2019.",bloqué plus 2500 après deux ans utilisation fournis preuves doute tous mails vidéo carte bloquée etc motif effectué retrait banque russe 2019,Positive,6,accueil
1438,Avis VIABUY ,"4,2 sur 5 étoiles",05/09/2021,"j'utilise viabuy depuis 2015 exclusivement en france et en colombie. honnêtement, les débuts un peu longs pour la réception de la carte.j'ai transmis mes documents cni et justificatif de domicile, ce qui est normal pour l'envoi des cartes et vérifié que ça ne sera pas pour blanchir de l'argent . ce que j'aime avec cette carte c´est il n'y a pas de frais de change. j'ai le même taux de change qu'entre 2 banques par rapport à la carte normal d'une banque française bnp sans la mentionner .. en devise étrangère je suis gagnant mais je ne l'ai jamais utilisé pour faire des retraits toujours pour paiement commerçant.bon ce que j'apprécie moins c'est qu'il nous colle maintenant 0.9% de frais sur les virements alors qu'ils étaient gratuit avant, quand au recharge par cb elles ont toujours été payantes ..je pense que je ne la renouvellerais pas à l'échéance. je m'en sers pour voyager, économiser tous les mois dessus, pour me payer des vacances mais avec le covid et les frais j'en ai plus l'utilité. mais avant l'augmentation j'aurais mis 5 etoiles mais là j'en mets 4 . les 0.90% de frais sur le montant envoyé ne sont pas justifiés !!!",utilise viabuy depuis 2015 exclusivement france colombie honnêtement débuts peu longs réception carte transmis documents cni justificatif domicile normal envoi cartes vérifié ça blanchir argent aime cette carte frais change taux change entre banques rapport carte normal banque française bnp sans mentionner devise étrangère gagnant jamais utilisé faire retraits toujours paiement commerçant bon apprécie moins colle maintenant frais virements alors gratuit avant quand recharge cb elles toujours payantes pense renouvellerais échéance sers voyager économiser tous mois dessus payer vacances covid frais plus utilité avant augmentation mis etoiles là mets 90 frais montant envoyé justifiés,Positive,3,service
1439,Avis VIABUY ,"2,3 sur 5 étoiles",27/12/2020,"j'étais un client viabuy pour une petite période avant de demander ma résiliation.en effet, il m'a fallu plus d'une semaine pour recevoir la carte bancaire alors que le site prévoit une livraison sous un jour ouvré.mais une fois j'ai voulu approvisionné mon compte avec un virement bancaire, les problèmes ont commencé: plus d'un mois et l'argent n'est toujours pas crédité sur mon compte viabuy.j'ai voulu bien sûr contacter le service client, avec des multiples relances et même plus de 10 e-mail envoyés, la réponse automatique est la suivante a chaque fois: ""nous sommes désolés d'apprendre que vous n'avez pas été satisfait de notre service client. votre problème a-t-il été résolu ? dans le cas contraire, veuillez nous recontacter par mail directement.""le service client fantôme ne propose aussi aucun numéro de téléphone et on trouve aucune méthode pour le contacter à part les e-mails sans traitement..mon argent, je ne l'ai jamais retrouvé.. je recommande la plus grande méfiance en ce qui les concerne.",client viabuy petite période avant demander résiliation effet fallu plus semaine recevoir carte bancaire alors site prévoit livraison sous jour ouvré fois voulu approvisionné compte virement bancaire problèmes commencé plus mois argent toujours crédité compte viabuy voulu bien sûr contacter service client multiples relances plus 10 mail envoyés réponse automatique suivante chaque fois désolés apprendre satisfait service client problème résolu cas contraire veuillez recontacter mail directement service client fantôme propose aussi aucun numéro téléphone trouve aucune méthode contacter part mails sans traitement argent jamais retrouvé recommande plus grande méfiance concerne,Positive,4,service
1440,Avis VIABUY ,"4,3 sur 5 étoiles",22/10/2020,"j'ai pris une carte prépayée viabuy il y a quelques années et je l'utilise toujours.lorsque j'ai demandé à obtenir la carte viabuy, l'ouverture de compte s'est fait très vite sans justificatif.l'interface du site web est clair, pratique et je reçois des notifications par mail.la carte est pratique à utiliser sauf dans les stations-services qui ne l'acceptent pas.j'aime bien contacter le service client par mail. les réponses ont toujours été rapides mais durant le confinement, j'ai dû attendre une journée pour un simple renseignement. toutefois, ils font toujours preuve de courtoisie.",pris carte prépayée viabuy quelques années utilise toujours lorsque demandé obtenir carte viabuy ouverture compte fait très vite sans justificatif interface site web clair pratique reçois notifications mail carte pratique utiliser sauf stations services acceptent aime bien contacter service client mail réponses toujours rapides durant confinement dû attendre journée simple renseignement toutefois font toujours preuve courtoisie,Positive,0,service
1441,Avis VIABUY ,"3,0 sur 5 étoiles",06/10/2020,"très satisfaite de ma carte viabuy, elle ne m'a jamais déçue quand il s'agit de payer quoi que ce soit, y compris la location de voitures et les réservations d'hôtel (ce qui est souvent un problème avec les autres cartes prépayées). de plus, les nombreuses possibilités de chargement sont inégalées et sont toujours excellentes lorsqu'il s'agit de charger rapidement des espèces.un grand bravo!elle fait un excellent travail de simplification des opérations monétaires, contribuant ainsi à simplifier nos tâches quotidiennes. grâce à elle, je peux obtenir d'importantes réductions sur l'achat de billets d'avion ainsi que la sécurité d'un achat avec une carte qui a des limites, de sorte que je n'ai pas de désagréments majeurs en cas de piratage de ma carte.félicitations.",très satisfaite carte viabuy jamais déçue quand agit payer quoi compris location voitures réservations hôtel souvent problème autres cartes prépayées plus nombreuses possibilités chargement inégalées toujours excellentes lorsqu agit charger rapidement espèces grand bravo fait excellent travail simplification opérations monétaires contribuant ainsi simplifier tâches quotidiennes grâce peux obtenir importantes réductions achat billets avion ainsi sécurité achat carte limites sorte désagréments majeurs cas piratage carte félicitations,Positive,2,frais
1442,Avis VIABUY ,"4,0 sur 5 étoiles",30/06/2020,"c'est facile de s'enregistrer en quelques minutes même si on a des enfants à garder comme moi et qui sont très dissipés. c'est simple d'enregistrer les pièces jointes demandées et en quelques jours, on reçoit sa nouvelle carte à la maison. je conseille viabuy pour toutes les accros du shopping en ligne comme moi.l'interface est simple à comprendre. on n'hésite pas et en quelques clics le tour est joué pour consulter ses soldes et le montant de ses derniers achats. j'aimerais juste pouvoir faire des graphiques sur l'évolution de mes dépenses mensuelles.j'ai déjà contacté le service clientèle par mail. ils m'ont répondu rapidement dans la journéeje regrette juste que ce service bancaire sûr et satisfaisant ne soit pas français. je me demande si un jour une banque française mettra en place sans problème un moyen efficace de réussir ses paiements. je soutiens ce genre d'initiatives. dommage que les personnes âgées n'utilisent pas ce type de service à la clientèle.je suis très satisfaite et j'encourage tous les français à adhérer à ce type de banque en ligne moderne et fiable.",facile enregistrer quelques minutes si enfants garder comme très dissipés simple enregistrer pièces jointes demandées quelques jours reçoit nouvelle carte maison conseille viabuy toutes accros shopping ligne comme interface simple comprendre hésite quelques clics tour joué consulter soldes montant derniers achats aimerais juste pouvoir faire graphiques évolution dépenses mensuelles déjà contacté service clientèle mail répondu rapidement journéeje regrette juste service bancaire sûr satisfaisant français demande si jour banque française mettra place sans problème moyen efficace réussir paiements soutiens genre initiatives dommage personnes âgées utilisent type service clientèle très satisfaite encourage tous français adhérer type banque ligne moderne fiable,Positive,0,service
