,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1466,Avis Bunq ,"1,4 sur 5 étoiles",06/03/2022,"bonjour, il y a 1 mois environ j'ai effectué une ouverture de compte bancaire pro. une personne a pris contact avec moi 10 mn après ma demande. il a effectué des photos de mon passeport, il me disait que cela été nécessaire pour l'ouverture du compte. depuis je n'ai plus de nouvelles.",bonjour mois environ effectué ouverture compte bancaire pro personne pris contact 10 mn après demande effectué photos passeport disait cela nécessaire ouverture compte depuis plus nouvelles,Positive,6,accueil
1467,Avis Bunq ,"4,3 sur 5 étoiles",11/02/2021,"d'un point de vue facilité d'utilisation pour moi le meilleur compte, ce qui justifie totalement les frais mensuels.il est possible de créer jusqu'à 25 sous-comptes sans frais supplémentaires. avant tout prélèvement il est possible de décider depuis lequel celui-ci doit être effectué.à noter que vous obtiendrez un iban néerlandais, ce qui ne pose pas vraiment de problème avec la zone sepa.",point vue facilité utilisation meilleur compte justifie totalement frais mensuels possible créer jusqu 25 sous comptes sans frais supplémentaires avant tout prélèvement possible décider depuis lequel celui ci doit être effectué noter obtiendrez iban néerlandais pose vraiment problème zone sepa,Positive,4,service
1468,Avis Bunq ,"3,3 sur 5 étoiles",10/02/2021,"cliente depuis plus d’un an, je suis satisfaite de bunq.cette banque en ligne met à notre disposition un chat sur application et un support mail. le suivi de ses transactions bancaires (traitements des virements) est fluide grâce à l’application mobile. les difficultés de paiement en ligne ou au magasin, de retrait au gab sont presque inexistantes. je n’ai jamais été confrontée à un problème face à mes transactions.comme j’avais déjà un compte bancaire, je me suis inscrite sans problème. cependant, le lien d'activation par courriel a pris un peu de temps à être envoyé. les paiements sur plusieurs échéances ne fonctionnent pas.",cliente depuis plus an satisfaite bunq cette banque ligne met disposition chat application support mail suivi transactions bancaires traitements virements fluide grâce application mobile difficultés paiement ligne magasin retrait gab presque inexistantes jamais confrontée problème face transactions comme déjà compte bancaire inscrite sans problème cependant lien activation courriel pris peu temps être envoyé paiements plusieurs échéances fonctionnent,Positive,0,service
1469,Avis Bunq ,"3,0 sur 5 étoiles",15/12/2020,"des débuts chaotiques, une inscription laborieuse qui a pris 1 mois et demi, ce qui est inacceptable quand on promet une inscription simple et rapide. j'ai été obligée de fournir une quantité incroyable de documents, certains ne faisant pas de sens. la procédure a été très lente dans son ensemble.en revanche, j'utilise l'application depuis quelques mois maintenant et je trouve l'interface très agréable à utiliser, intelligente grâce à ses différentes fonctionnalités, simple d'utilisation.le service client laissait à désirer lors des problèmes rencontrés au début, mais ils sont toutefois réactifs.j'utilise beaucoup la fonction apple pay qui me permet de payer avec mon téléphone. vivant aux pays-bas, il est pratique d'utiliser une maestro (très courante et indispensable là-bas)pour résumer, malgré une inscription compliqué je suis finalement très satisfaite de cette banque en ligne.",débuts chaotiques inscription laborieuse pris mois demi inacceptable quand promet inscription simple rapide obligée fournir quantité incroyable documents certains faisant sens procédure très lente ensemble revanche utilise application depuis quelques mois maintenant trouve interface très agréable utiliser intelligente grâce différentes fonctionnalités simple utilisation service client laissait désirer lors problèmes rencontrés début toutefois réactifs utilise beaucoup fonction apple pay permet payer téléphone vivant pays bas pratique utiliser maestro très courante indispensable là bas résumer malgré inscription compliqué finalement très satisfaite cette banque ligne,Positive,0,service
1470,Avis Bunq ,5 sur 5 étoiles,30/06/2020,"l'enregistrement se fait entièrement et uniquement via l'application. la vérification de l'identité, obligatoire comme pour toutes les néobanques est rapide. il suffit de prendre une photo de sa carte d'identité, de télécharger un justificatif de domicile, et enfin de prendre un selfie qui permet de prouver son identité. l'interface est en outre agréable, très colorée, permettant avec des instructions claires de nous guider pas à pas durant le processus. la vérification se fait en direct et permet d'accéder immédiatement à l'ensemble des services.j'ai d'abord utilisé bunq sans abonnement en commandant gratuitement la carte travel, habituellement facturée 10€. cette carte mastercard aux couleurs de l'arc-en-ciel permet de dépenser son argent dans le monde entier sans avoir à se soucier des problèmes de change, gérés sans frais par l'application. bien que ce soit une carte à vérification du solde systématique, elle est néanmoins estampillée carte de crédit, ce qui me permet de l'utiliser partout, notamment sur les automates en station service, par la suite, je suis passé au niveau premium pour 7.99€ sans engagement, ce qui m'a permis de commander une carte supplémentaire et de pouvoir ouvrir d'autres comptes, avec chacun son propre iban.de nombreuses fonctionnalités et une interface amusante.l'application est simple et agréable, j'aime pouvoir retrouver facilement mes transactions. on peut également accéder à son compte depuis l'application web accessible depuis mon navigateur.lorsque je me pose des questions, je peux compter sur un service clients non seulement sympathique mais surtout très efficace. bunq laisse à ses utilisateurs la totale gestion de leur argent et est complètement transparent sur sa manière de fonctionner.",enregistrement fait entièrement uniquement via application vérification identité obligatoire comme toutes néobanques rapide suffit prendre photo carte identité télécharger justificatif domicile enfin prendre selfie permet prouver identité interface outre agréable très colorée permettant instructions claires guider durant processus vérification fait direct permet accéder immédiatement ensemble services abord utilisé bunq sans abonnement commandant gratuitement carte travel habituellement facturée 10 cette carte mastercard couleurs arc ciel permet dépenser argent monde entier sans avoir soucier problèmes change gérés sans frais application bien carte vérification solde systématique néanmoins estampillée carte crédit permet utiliser partout notamment automates station service suite passé niveau premium 99 sans engagement permis commander carte supplémentaire pouvoir ouvrir autres comptes chacun propre iban nombreuses fonctionnalités interface amusante application simple agréable aime pouvoir retrouver facilement transactions peut également accéder compte depuis application web accessible depuis navigateur lorsque pose questions peux compter service clients non seulement sympathique surtout très efficace bunq laisse utilisateurs totale gestion argent complètement transparent manière fonctionner,Positive,0,service
